About,Informazioni
Use eBay Shipping Rate Table,Utilizza tabella di tariffe di spedizioni eBay
Charges shipping cost according to the shipping rate per an item table of your eBay account.,Addebita le spese di spedizione in base alla tariffa di spedizione specificata in una tabella di oggetti del tuo account eBay.
Service,Servizio
Cost,Costo
Additional Item Cost,Costo aggiuntivo oggetto
Local pickup,Ritiro in zona
Item is available for local pickup only.,L'oggetto è disponibile solo per il ritiro in zona.
Freight,Trasporto
Specify your own freight shipping options in your item description.,Specifica le tue opzioni di spedizione nella descrizione dell'oggetto.
Get It Fast,Spedizione immediata
At least one qualifying expedited shipping service and 1 day handling time must be offered to enable this option.,"Per attivare questa opzione, occorre offrire almeno un servizio postacelere e un tempo di imballaggio di 1 giorno."
Handling Time,Tempi di imballaggio
Time that is needed to prepare an item to be shipped.,Tempo necessario per preparare un oggetto per la spedizione.
Handling Cost,Costi di imballaggio
Custom Value,Valore personalizzato
Addition of handling cost to the shipping costs.,Aggiunta dei costi di imballaggio alle spese di spedizione.
Handling Cost Attribute,Attributo costi di imballaggio
Handling Cost Value,Valore costi di imballaggio
Combined Shipping Profile,Profilo spedizione combinato
"Allows using Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.",Consente di utilizzare i profili di Regola per la spedizione a tariffa fissa e Regola per la spedizione calcolata precedentemente creati su eBay.
Uploads new or refreshes eBay Shipping profiles.,Carica o aggiorna i profili di Spedizione eBay.
Promotional Shipping Rule,Regola di spedizione promozionale
Adding Shipping Discounts according to the rules that are set in your eBay Account.,Aggiunta di sconti sulla spedizione in base alle regole impostate nel tuo account eBay.
"""Cash On Delivery"" Cost","Costo ""Contrassegno"""
Required when using COD Payment Method.,Obbligatorio quando si utilizza il metodo di pagamento con contrassegno.
Cross Border Trade,Commercio internazionale
"The international site visibility feature allows qualifying listings to be posted on international sites.
<br/>Buyers on these sites will see the listings exactly as you originally post them.","La funzione di visibilità internazionale consente di qualificare le inserzioni per poter essere pubblicate sui siti internazionali.
<br/>Gli acquirenti di questi siti visualizzeranno le inserzioni esattamente come le hai pubblicate originariamente."
Australia Marketplace Visibility,Visibilità nel mercato australiano
USA / Canada Marketplace Visibility,Visibilità nel mercato statunitense/canadese
eBay North America (ebay.com and ebay.ca),eBay America settentrionale (ebay.com e ebay.ca)
UK Marketplace Visibility,Visibilità nel mercato britannico
eBay UK (ebay.co.uk),eBay Regno Unito (ebay.co.uk)
International Shipping,Spedizione internazionale
No International Shipping,Nessuna spedizione internazionale
Promotional Shipping Rule:,Regola di spedizione promozionale:
Measurement System,Sistema di misura
"English (lbs, oz, in)","Inglese (libbre, once, pollici)"
"Metric (kg, g, cm)","Metrico (kg, g, cm)"
Package Size Source,Origine dimensione pacco
eBay Values,Valori eBay
Package Size,Dimensione del pacco postale
"If you don't know your package type, select the ""Large package"" option.","Se non conosci il tuo tipo di pacchetto, seleziona l'opzione Large Package."
Package Size Attribute,Attributo dimensione pacco
The Package Size Attribute must have package ID as value.,Ad Attributo dimensione pacco deve essere associato un valore ID pacco.
Dimension Source,Origine dimensione
Dimensions (Width/Height/Depth),Dimensioni (larghezza/altezza/profondità)
inches,pollici
cm,cm
Weight Source,Origine peso
Weight Attribute,Attributo peso
The Weight Attribute must have the weight of the item.,In Attributo peso deve essere presente il peso dell'oggetto.
lbs. oz.,libbre grammi
kg. g.,Kg. g.
Weight,Peso
Postal code for the location from which the package will be shipped.,Codice postale del luogo da cui verrà spedito il pacco.
Free,Gratis
Calculated,Tariffa calcolata
The category <b>%cat%</b> doesn't have Item Specific.,Alla categoria <b>%cat%</b> non è associata alcuna specifica dell'oggetto.
Only Text Area type attributes are allowed.,Sono consentiti soltanto gli attributi di tipo Area Testo.
Item Condition,Condizioni dell'oggetto
"The Item Condition setting depends on the way of the Primary Category choosing.
        If it is chosen from eBay Categories list, the list of Item Condition is uploaded from eBay and you are required to choose from it.
        If the Primary Category is set via Custom Attribute, the list of attributes related to the previously chosen Attribute Set is uploaded and
        you are required to choose the Item Condition by choosing appropriate attribute.<br/><br/>
        <b>Note:</b> Attribute must contain an ID of the Item Condition.","L'impostazione Condizioni dell'oggetto dipende dalla modalità di scelta della categoria principale.
        Se viene scelta nell'elenco Categorie di eBay, l'elenco di condizioni dell'oggetto viene caricato da eBay e devi effettuare la scelta in esso.
        Se la categoria principale viene impostata tramite Attributo personalizzato, viene caricato l'elenco di attributi correlati all'insieme di attributi scelto in precedenza e
        devi scegliere le condizioni dell'oggetto selezionando l'attributo appropriato.<br/><br/>
        <b>Nota:</b> l'attributo deve contenere un ID delle condizioni dell'oggetto."
Condition,Condizioni
Item Condition Mode,Modalità condizioni dell'oggetto
eBay Conditions,Condizioni eBay
Custom Attributes,Attributi personalizzati
Condition of the product(s) you want to list on eBay,Condizioni dei prodotti che desideri mettere in vendita su eBay
Item Condition Attribute,Attributo condizioni dell'oggetto
The Condition Attribute must have condition ID as value.,Ad Attributo condizioni deve essere associato un valore ID condizioni.
Product Details,Dettagli del prodotto
"To make easier finding your Listing in eBay search results specify products' identifiers,
        such as ISBN, ePID (Product Reference ID), UPC, EAN.
        <br/>Use the Custom Value option to enter necessary value, or choose a Custom Attribute that contains it.<br/><br/>
        <b>Note:</b> These options correspond to the Primary eBay Category, NOT the Secondary Category.","Per semplificare l'individuazione della tua inserzione nei risultati della ricerca su eBay, specifica gli identificatori dei prodotti,
        ad esempio i numeri ISBN, ePID (ID di riferimento del prodotto), UPC, EAN.
        <br/>Utilizza l'opzione Valore personalizzato per immettere il valore necessario o scegli un attributo personalizzato che lo contiene.<br/><br/>
        <b>Nota:</b> queste opzioni corrispondono alla categoria eBay principale, non alla secondaria."
ISBN,ISBN
"Unique books' identifier, includes 10 or 13 characters.",L'identificatore univoco dei libri include da 10 a 13 caratteri.
Choose the ISBN attribute that contains unique books' identifier.,Scegli l'attributo ISBN che contiene un identificatore univoco dei libri.
ePID (Product Reference ID),ePID (ID di riferimento del prodotto)
The eBay's short global reference ID for a catalog product. i.e. EPID235742 or 235742,"ID di riferimento globale breve di eBay per un prodotto del catalogo, ad esempio EPID235742 o 235742"
Choose the ePid attribute that contains eBay's short global reference ID.,Scegli l'attributo ePid che contiene l'ID di riferimento globale breve di eBay.
UPC,UPC
Unique 12-character identifier that many industries use to identify products.,Identificatore univoco da 12 caratteri utilizzato da molte aziende per identificare i prodotti.
Choose the UPC attribute that contains unique 12-character identifier.,Scegli l'attributo UPC che contiene un identificatore univoco da 12 caratteri.
EAN,EAN
Unique 8 or 13 digit identifier that many industries (such as book publishers) use to identify products.,Identificatore univoco da 8 o 13 cifre utilizzato da molte aziende (ad esempio le case editrici) per identificare i prodotti.
Choose the EAN attribute that contains unique 8 or 13 digit identifier.,Scegli l'attributo EAN che contiene un identificatore univoco da 8 o 13 cifre.
"Adding specific item details will attract your buyers and help them to find your item in a search.
        You can set item detail from the list uploaded from eBay by choosing eBay Recommended option, or create custom detail
        by choosing the Custom Attribute    that contains the item specific ID or typing necessary text into the Custom Value field.<br/><br/>
        <b>Note:</b> These options correspond to the Primary eBay Category, NOT the Secondary Category.","L'aggiunta di dettagli specifici dell'oggetto attirerà l'attenzione degli acquirenti e li aiuterà a individuare il tuo oggetto in una ricerca.
        I dettagli dell'oggetto possono essere impostati nell'elenco caricato da eBay scegliendo l'opzione Consigliato da eBay oppure puoi crearne di personalizzati
        scegliendo l'attributo personalizzato    che contiene l'ID specifico dell'oggetto o digitando il testo necessario nel campo Valore personalizzato.<br/><br/>
        <b>Nota:</b> queste opzioni corrispondono alla categoria eBay principale, non alla secondaria."
Name,Nome
Value,Valore
&nbsp;,&nbsp;
Add more information to help buyers find your item in search results.,Aggiungi maggiori informazioni per aiutare gli acquirenti a trovare il tuo oggetto nei risultati della ricerca.
