About,Acerca de
"Selected Primary eBay category allows creating multi variation listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options can be listed as multi variation eBay items.<br/><br/>
                <b>Note:</b> eBay allows listing items with variations only in Fixed Price listing (in Auction listing type all variation
                will be ignored) and the Best Offer option is not used in this case (it will be ignored if it was set in your Selling Format
                Template).","La categoría principal de eBay seleccionada permite la creación de anuncios con variantes.
                <br/>Los productos configurables, de conjunto, agrupados y simples con opciones personalizadas se pueden poner en venta como artículos de eBay con variantes.<br/><br/>
                <b>Nota</b>: eBay permite poner en venta artículos con variantes solo en los anuncios de precio fijo (en los anuncios de subasta se omitirán
                todas las variantes). En este caso, no se usa la opción Mejor oferta (se omitirá si se ha establecido en la plantilla de formato
                de venta)."
"Selected Primary eBay category does not allow creating multi variation eBay listings.
                <br/>Configurable, Bundle, Grouped and Simple Products with Custom Options will be listed as regular eBay items. All variations will be ignored.","La categoría principal de eBay seleccionada no permite la creación de anuncios con variantes en eBay.
                <br/>Los productos configurables, de conjunto, agrupados y simples con opciones personalizadas se pondrán en venta como artículos de eBay normales. Se omitirán todas las variantes."
Ignore Variations,Omitir variantes
"If <i>Yes</i>, the variations of products will be ignored.","Si se establece en <i>Sí</i>, se omitirán las variantes de los productos."
Inventory Information,Información de inventario
"If <i>Yes</i>, the Product SKU will be used as a Custom Label.","Si se establece en <i>Sí</i>, el número de referencia del producto se usará como etiqueta personalizada."
"You should specify payment method(s) you can offer your buyers.<br/><br/>
    <b>Note:</b> At least one payment method should be specified.","Debes especificar las formas de pago que puedes ofrecer a los compradores.<br/><br/>
    <b>Nota</b>: se debe especificar al menos una forma de pago."
"Max applicable length is 6 characters, including the decimal (e.g., 12.345).","La longitud máxima aplicable es de seis caracteres, incluidos los decimales (por ejemplo, 12,345)."
Payment method should be specified.,Se debe especificar la forma de pago.
PayPal payment method should be specified for Cross Border trade.,Se debe especificar la forma de pago PayPal para los compradores internacionales.
Cash On Delivery payment method is required.,La forma de pago Pago contra reembolso es obligatoria.
PayPal,PayPal
PayPal Accepted,Se acepta PayPal
PayPal Email Address,Correo electrónico de PayPal
Email address for receiving payment.,Correo electrónico para recepción de pagos.
Require Immediate Payment,Exigir pago inmediato
"Only applicable to items listed on PayPal-enabled sites in categories that support immediate payment, when a seller has a Premier or Business PayPal account.","Solo se aplica a artículos puestos en venta en sitios que admiten PayPal pertenecientes a categorías que admiten pago inmediato, siempre que el vendedor tenga una cuenta PayPal Premier o Business."
Additional Payment Methods,Formas de pago adicionales
Please select eBay Category to have access to this section,Selecciona una categoría de eBay para tener acceso a esta sección
Payment Methods,Formas de pago
"Sellers are obliged to specify a return policy when listing an item on eBay.
    Even if the policy is do not accept returns, buyers should know this before bidding or buying.<br/>
    It is recommended to accept and specify a clear return policy, as it can give buyers confidence to bid or buy and
    prevent problems after the sale.<br/><br/>
    <b>Note:</b> Return Policy settings may vary depending on the marketplaces and categories.","Los vendedores deben especificar una política de devoluciones al poner en venta un artículo en eBay.
    Incluso si la política es no admitir devoluciones, los compradores deben saberlo antes de pujar o comprar.<br/>
    Se recomienda aceptar y especificar una política de devoluciones clara, ya que puede transmitir confianza a los compradores para pujar o comprar, y
    evitar problemas después de la venta.<br/><br/>
    <b>Nota</b>: la configuración de la política de devoluciones puede variar según los mercados y las categorías."
Refund Will Be Given As,Forma del reembolso
Item Must Be Returned Within,Plazo para devolver el artículo
Return Shipping Will Be Paid By,Los gastos de envío los pagará el
Restocking Fee Value,Valor de la tarifa de reposición
Refund Description,Descripción del reembolso
"This tab allows you to determine information about how, when and where your products will be shipped from.","En esta pestaña puedes especificar la información sobre cómo, cuándo y desde dónde se enviarán los productos."
Location or Zip/Postal Code should be specified.,Debes especificar la ubicación o código postal.
You should specify at least one shipping method.,Debes especificar al menos una forma de pago.
Select one or more international ship-to locations.,Selecciona uno o varios destinos internacionales de envío.
Item Location,Ubicación del artículo
Country your product will be shipped from.,País desde el que se enviará el producto.
Zip/Postal Code of the item location that is used for searches by location.,Código postal de la ubicación del artículo que se utiliza para las búsquedas por ubicación.
"City, State","Ciudad, Estado"
"City, State for the location from which the package will be shipped.","Ciudad, Estado de la ubicación desde la que se enviará el paquete."
Taxation,Impuestos
Use eBay Tax Table,Usar la tabla de impuestos de eBay
Charges sales tax according to the tax table of your eBay account.,Se cobra el impuesto de ventas según la tabla de impuestos de tu cuenta de eBay.
"VAT Rate, %","Tipo de IVA, %"
"To specify it, a seller must have business eBay account and must be listing the item on a VAT-enabled site.","Para especificarlo, el vendedor debe tener una cuenta Empresa de eBay y debe poner en venta el artículo en un sitio que incluya el IVA."
Domestic Shipping,Envíos nacionales
Flat: same cost to all buyers,Fijos: mismo coste para todos los compradores
Calculated: cost varies by buyer location,Tarifa calculada: la tarifa varía según la ubicación del comprador
Freight: large items,Mercancía: artículos grandes
No Shipping: local pickup only,No incluye envío; solo recogida local
Use eBay Shipping Rate Table,Usar la tabla de gastos de envío de eBay
Charges shipping cost according to the shipping rate per an item table of your eBay account.,Se cobran los gastos de envío según la tarifa de envío de un artículo indicada en la tabla de tu cuenta de eBay.
Service,Servicio
Cost,Coste
Additional Item Cost,Coste de artículo adicional
Local pickup,Recogida local
Item is available for local pickup only.,El artículo está disponible para recogida local solamente.
Freight,Mercancía
Specify your own freight shipping options in your item description.,Especifica tus propias opciones de envío de la mercancía en la descripción del artículo.
Get It Fast,Envío rápido
At least one qualifying expedited shipping service and 1 day handling time must be offered to enable this option.,"Para activar esta opción, debe ofrecerse al menos un servicio de franqueo urgente que cumpla los requisitos y un tiempo de manipulación de 1 día."
Handling Time,Tiempo de manipulación
Time that is needed to prepare an item to be shipped.,Tiempo necesario para preparar un artículo para su envío.
Handling Cost,Gastos de manipulación
Custom Value,Valor personalizado
Addition of handling cost to the shipping costs.,Suma de los gastos de manipulación y los gastos de envío.
Handling Cost Attribute,Atributo de gastos de manipulación
Handling Cost Value,Valor de gastos de manipulación
Combined Shipping Profile,Perfil de envío combinado
"Allows using Flat Shipping Rule and Calculated Shipping Rule profiles, which were created on eBay.",Permite usar los perfiles Regla de gastos de envío fijos y Regla de gastos de envío calculados que se crearon en eBay.
Uploads new or refreshes eBay Shipping profiles.,Envía nuevos perfiles de gastos de envío de eBay o actualiza los ya existentes.
Promotional Shipping Rule,Regla de gastos de envío promocionales
Adding Shipping Discounts according to the rules that are set in your eBay Account.,Suma de los descuentos en los gastos de envío según las reglas configuradas en tu cuenta de eBay.
"""Cash On Delivery"" Cost","Coste de ""Pago contra reembolso"""
